geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00002180_4	cloud	V			
GC00001156_r1_r1_r1_1	softcore	X			
GC00002957_2	shell	S			
GC00001409_r1_1	softcore	E			
GC00001409_1	cloud	E			
GC00003000_r1_r1_1	shell	L			
GC00001156_r1_r1_1	shell	X			
GC00002024_r1_1	shell	S			
GC00003000_r1_2	cloud	L			
GC00001156_r1_1	cloud	X			
GC00002024_1	cloud	S			
GC00002957_1	shell	S			
GC00000271_8	core	K			
GC00000216_2	shell	P			
GC00003000_r1_1	cloud	L			
GC00000271_2	cloud	K			
GC00001156_r1_2	cloud	X			
GC00004767_2	cloud	X			
GC00000438_r1_1	softcore	X			
GC00000008_44	shell	K			
GC00000438_1	cloud	X			
GC00003000_1	cloud	X			
GC00001156_1	cloud	X			
GC00004767_1	cloud	X			
GC00003000_2	cloud	L			
GC00002297_2	shell	G			
GC00001236_r1_1	softcore	J			
GC00004399_1	cloud	X			
GC00004399_2	cloud	S			
GC00001492_6	shell	X			
GC00001492_4	cloud	X			
GC00004399_3	cloud	X			
GC00000271_6	shell	K			
GC00001492_5	cloud	X			
GC00001205_r1_1	softcore	P			
GC00001753_1	shell	L			
GC00001205_1	cloud	P			
GC00002024_2	shell	S			
GC00000219_1	shell	P			
GC00000024_12	shell	E			
GC00000174_7	softcore	U			
GC00000008_16	shell	K			
GC00000008_14	cloud	K			
GC00001626_r1_r1_1	shell	U			
GC00003341_r1_1	shell	L			
GC00000169_3	softcore	U			
GC00002380_r1_2	shell	L			
GC00000169_2	cloud	U			
GC00000308_3	core	C			
GC00002380_r1_1	cloud	L			
GC00002380_1	cloud	L			
GC00000221_3	shell	I	Q		
GC00004572_2	cloud	X			
GC00000271_4	shell	K			
GC00004572_1	cloud	X			
GC00001626_r1_1	shell	U			
GC00004573_2	cloud	X			
GC00001626_1	cloud	U			
GC00004573_1	cloud	X			
GC00003341_r1_2	shell	L			
GC00002013_2	shell	S			
GC00001626_2	cloud	U			
GC00003341_1	cloud	L			
GC00000308_1	shell	C			
GC00001626_3	cloud	U			
GC00003725_1	cloud	M			
GC00000008_45	shell	K			
GC00003680_2	shell	S			
GC00002013_1	shell	S			
GC00002693_1	cloud	S			
GC00000008_15	shell	K			
GC00003725_2	shell	X			
GC00000008_2	cloud	K			
GC00003725_3	cloud	M			
GC00003171_r1_r1_2	cloud	X			
GC00003171_r1_r1_1	cloud	X			
GC00001207_r1_r1_1	softcore	D			
GC00001207_r1_1	cloud	D			
GC00001753_3	shell	L			
GC00001753_2	cloud	L			
GC00003680_1	shell	S			
GC00000008_20	shell	K			
GC00002693_2	shell	S			
GC00003171_r1_1	shell	X			
GC00003957_r1_1	cloud	X			
GC00003957_r1_2	cloud	S			
GC00000708_r1_1	softcore	L			
GC00003957_1	cloud	S			
GC00003065_r1_1	shell	X			
GC00001236_1	cloud	J			
GC00003957_2	cloud	S			
GC00000708_2	cloud	L			
GC00000079_1	core	U			
GC00000008_5	shell	K			
GC00000708_3	cloud	L			
GC00002271_r1_1	shell	X			
GC00002271_1	cloud	X			
GC00000708_1	cloud	L			
GC00000708_4	cloud	L			
GC00000907_r1_r1_1	softcore	S			
GC00003171_1	shell	X			
GC00000907_r1_1	cloud	S			
GC00003171_2	cloud	X			
GC00000907_1	cloud	S			
GC00001993_r1_r1_r1_1	shell	S			
GC00001659_r1_1	shell	S			
GC00003065_2	shell	X			
GC00001659_2	cloud	X			
GC00001207_4	shell	D			
GC00003065_1	cloud	X			
GC00001207_3	cloud	D			
GC00001659_3	cloud	S			
GC00001207_2	cloud	D			
GC00001207_1	cloud	D			
GC00003060_2	shell	V			
GC00001993_r1_r1_1	shell	X			
GC00001616_4	shell	T			
GC00001616_1	cloud	T			
GC00001659_1	shell	X			
GC00003218_r1_1	cloud	X			
GC00001616_3	cloud	T			
GC00000169_1	shell	U			
GC00001616_2	cloud	T			
GC00003333_1	cloud	S			
GC00002992_r1_1	shell	L			
GC00003060_1	shell	V			
GC00002992_1	cloud	L			
GC00003269_r1_1	cloud	X			
GC00001993_r1_1	shell	X			
GC00001993_3	cloud	X			
GC00001993_2	cloud	X			
GC00000174_4	shell	U			
GC00003218_r1_2	shell	X			
GC00000174_6	cloud	U			
GC00001993_1	cloud	X			
GC00000174_2	cloud	U			
GC00003269_r1_2	shell	X			
GC00003269_1	cloud	X			
GC00003333_2	cloud	X			
GC00003218_1	shell	X			
GC00003888_r1_1	shell	X			
GC00000968_r1_1	softcore	M			
GC00003888_1	cloud	X			
GC00001935_2	shell	X			
GC00001935_1	cloud	X			
GC00002158_r1_1	shell	U			
GC00001349_r1_1	softcore	X			
GC00003269_2	shell	X			
GC00001349_1	cloud	X			
GC00003510_r1_1	shell	S			
GC00003350_r1_2	shell	S			
GC00003350_r1_1	cloud	S			
GC00000008_42	shell	K			
GC00003510_1	shell	S			
GC00000119_2	cloud	X			
GC00002053_2	shell	S			
GC00000968_1	shell	M			
GC00000154_4	core	E			
GC00002158_9	shell	U			
GC00002158_5	cloud	S			
GC00001609_r1_1	shell	S			
GC00001609_1	cloud	S			
GC00000219_2	softcore	P			
GC00000079_2	core	U			
GC00002342_r1_r1_1	cloud	I			
GC00003922_r1_1	shell	S			
GC00000216_3	core	P			
GC00002158_7	shell	U			
GC00000154_3	shell	E			
GC00002053_1	shell	S			
GC00002261_r1_r1_1	shell	V			
GC00002681_r1_1	shell	Q			
GC00002158_4	shell	M			
GC00002342_r1_r1_2	shell	I			
GC00002158_6	cloud	X			
GC00003311_r1_1	shell	X			
GC00001696_r1_1	shell	S			
GC00002158_2	cloud	X			
GC00001696_1	cloud	S			
GC00002158_1	cloud	X			
GC00003444_r1_3	cloud	M			
GC00003444_r1_2	cloud	M			
GC00003444_r1_1	cloud	M			
GC00002261_r1_1	shell	V			
GC00003444_1	cloud	M			
GC00003311_1	shell	X			
GC00001685_r1_r1_r1_1	shell	S			
GC00003922_1	cloud	S			
GC00001685_r1_r1_1	cloud	S			
GC00000008_37	shell	K			
GC00003444_2	cloud	M			
GC00000008_39	cloud	K			
GC00002342_r1_r1_3	shell	I			
GC00002158_8	shell	M			
GC00002681_1	shell	Q			
GC00003922_2	cloud	L			
GC00001685_r1_1	cloud	S			
GC00002158_3	cloud	X			
GC00002342_r1_1	cloud	I			
GC00001685_r1_2	cloud	S			
GC00000216_1	shell	P			
GC00001685_4	cloud	S			
GC00002261_1	shell	V			
GC00000638_2	core	K			
GC00000638_1	cloud	X			
GC00001685_1	cloud	X			
GC00001685_3	cloud	S			
GC00000822_r1_1	softcore	X			
GC00000068_6	softcore	K			
GC00000822_1	cloud	X			
GC00003350_1	shell	S			
GC00003350_2	cloud	S			
GC00000008_34	shell	K			
GC00002342_1	shell	I			
GC00001399_2	softcore	M			
GC00000370_3	shell	L			
GC00001399_1	cloud	M			
GC00003465_4	cloud	X			
GC00003111_r1_2	shell	X			
GC00000370_2	cloud	L			
GC00003111_r1_1	cloud	X			
GC00000370_1	cloud	L			
GC00000426_1	cloud	C			
GC00003622_r1_1	shell	L			
GC00003111_1	cloud	X			
GC00003622_1	cloud	L			
GC00001685_2	shell	S			
GC00000068_4	shell	K			
GC00000068_2	cloud	T			
GC00000433_2	core	C			
GC00000417_1	cloud	F			
GC00003465_3	shell	X			
GC00003465_2	cloud	X			
GC00000008_36	shell	K			
GC00003465_1	cloud	X			
GC00000227_r1_r1_1	softcore	S			
GC00000227_r1_1	cloud	S			
GC00001400_2	softcore	M			
GC00002908_r1_1	shell	X			
GC00001400_1	cloud	M			
GC00002908_1	cloud	X			
GC00000433_1	shell	C			
GC00005173_1	cloud	S			
GC00000151_2	softcore	M			
GC00005173_2	cloud	T			
GC00002498_1	cloud	K			
GC00000750_r1_r1_1	shell	X			
GC00002498_2	cloud	K			
GC00000750_r1_1	cloud	X			
GC00000370_5	shell	L			
GC00002498_3	cloud	K			
GC00000750_1	cloud	X			
GC00000227_r1_2	shell	S			
GC00000227_4	cloud	S			
GC00000750_3	cloud	X			
GC00002377_2	shell	X			
GC00001972_r1_1	shell	K			
GC00001972_1	cloud	K			
GC00000750_2	shell	X			
GC00002498_4	shell	K			
GC00001216_r1_1	softcore	Q			
GC00001216_1	cloud	Q			
GC00000227_5	shell	S			
GC00000227_2	cloud	S			
GC00000813_r1_1	softcore	J			
GC00000227_3	cloud	S			
GC00000813_1	cloud	J			
GC00002498_5	shell	K			
GC00000813_2	cloud	J			
GC00002377_1	shell	X			
GC00000227_1	cloud	S			
GC00000064_3	cloud	O			
GC00000535_1	cloud	D			
GC00000535_2	cloud	D			
GC00000008_19	shell	K			
GC00000774_r1_1	softcore	S			
GC00000774_1	cloud	S			
GC00000012_20	cloud	T			
GC00001979_r1_1	shell	S			
GC00000008_17	shell	K			
GC00000064_1	shell	O			
GC00000154_2	softcore	E			
GC00000064_2	cloud	O			
GC00001572_r1_1	shell	E			
GC00000154_1	cloud	E			
GC00001572_1	cloud	E			
GC00000012_3	shell	T			
GC00000012_12	cloud	T			
GC00002310_3	shell	L			
GC00002310_2	cloud	L			
GC00000012_21	cloud	T			
GC00000012_19	cloud	T			
GC00000008_23	shell	K			
GC00000528_r1_1	softcore	P			
GC00000528_2	cloud	P			
GC00000012_6	cloud	T			
GC00001542_r1_r1_1	shell	L			
GC00000250_r1_2	cloud	S			
GC00000119_3	core	O			
GC00000528_3	cloud	P			
GC00002183_r1_1	shell	X			
GC00001542_r1_1	cloud	L			
GC00000528_1	cloud	P			
GC00001542_r1_2	cloud	L			
GC00002384_r1_1	shell	X			
GC00001285_1	cloud	H			
GC00001542_1	cloud	L			
GC00001686_r1_r1_1	shell	N	T		
GC00000008_4	shell	K			
GC00000008_18	cloud	K			
GC00000012_5	shell	T			
GC00002384_1	shell	X			
GC00002310_1	shell	L			
GC00000339_r1_r1_r1_1	shell	I			
GC00001922_3	shell	E	G		
GC00000339_r1_r1_1	cloud	X			
GC00000339_r1_1	cloud	X			
GC00000151_3	core	V			
GC00002183_r1_2	shell	X			
GC00000151_1	cloud	M			
GC00002183_1	cloud	X			
GC00000339_r1_3	cloud	X			
GC00000531_1	shell	F			
GC00000641_r1_1	softcore	S			
GC00000250_r1_1	shell	S			
GC00000250_4	cloud	S			
GC00000641_2	cloud	S			
GC00000250_1	cloud	S			
GC00000641_1	cloud	S			
GC00000398_r1_1	shell	E			
GC00000426_3	core	C			
GC00001922_2	shell	S			
GC00002183_2	shell	X			
GC00003032_r1_1	cloud	M			
GC00003032_2	cloud	M			
GC00002404_r1_1	shell	X			
GC00000339_r1_2	shell	X			
GC00002404_1	cloud	O			
GC00003032_1	cloud	M			
GC00000250_2	shell	S			
GC00000339_2	cloud	T			
GC00000250_3	cloud	S			
GC00001922_1	shell	S			
GC00001567_r1_r1_1	shell	X			
GC00001979_2	cloud	S			
GC00001567_r1_1	cloud	X			
GC00000143_2	core	C			
GC00000426_2	shell	C			
GC00001979_1	cloud	S			
GC00001567_2	cloud	X			
GC00000735_4	cloud	I			
GC00002677_r1_r1_1	shell	X			
GC00003033_2	shell	S			
GC00002677_r1_1	cloud	X			
GC00003033_1	cloud	S			
GC00002677_2	cloud	X			
GC00000339_6	shell	X			
GC00000339_4	cloud	X			
GC00002677_1	cloud	X			
GC00000034_2	shell	L			
GC00001567_3	shell	X			
GC00000339_7	cloud	X			
GC00000689_2	cloud	V			
GC00001567_1	cloud	X			
GC00000339_5	cloud	X			
GC00003891_r1_1	cloud	M			
GC00000339_3	cloud	X			
GC00003891_r1_2	cloud	M			
GC00000677_r1_1	softcore	D			
GC00000339_8	cloud	X			
GC00003891_2	cloud	M			
GC00000677_1	cloud	D			
GC00000339_1	cloud	X			
GC00003891_1	cloud	M			
GC00002061_r1_1	shell	X			
GC00000677_3	cloud	D			
GC00000677_2	cloud	D			
GC00001357_r1_1	softcore	S			
GC00001357_1	cloud	S			
GC00000689_3	shell	V			
GC00002061_5	shell	X			
GC00002061_1	cloud	X			
GC00001285_3	softcore	H			
GC00002061_3	cloud	X			
GC00001285_2	cloud	H			
GC00000370_4	core	L			
GC00000689_8	shell	V			
GC00002061_2	cloud	X			
GC00000689_1	cloud	V			
GC00002579_r1_1	shell	X			
GC00002579_2	cloud	X			
GC00002061_4	cloud	X			
GC00002061_6	cloud	X			
GC00000064_6	core	O			
GC00000689_7	shell	V			
GC00002349_r1_1	shell	X			
GC00000689_5	cloud	V			
GC00002579_3	shell	X			
GC00002579_1	cloud	X			
GC00000417_2	softcore	F			
GC00001961_1	cloud	D	J		
GC00000789_r1_2	shell	X			
GC00002349_1	shell	X			
GC00002349_3	cloud	X			
GC00001791_3	shell	S			
GC00002349_2	cloud	X			
GC00002579_4	shell	X			
GC00002372_r1_1	shell	S			
GC00002372_3	cloud	X			
GC00000789_r1_1	shell	X			
GC00000789_1	cloud	X			
GC00001744_r1_r1_r1_r1_1	shell	X			
GC00001744_r1_r1_r1_1	cloud	X			
GC00001744_r1_r1_1	cloud	X			
GC00002349_4	shell	X			
GC00001961_2	shell	D	J		
GC00000411_2	softcore	E			
GC00000119_1	core	O			
GC00001791_2	shell	O			
GC00002372_2	shell	S			
GC00002372_1	cloud	S			
GC00001744_r1_1	shell	X			
GC00001744_1	cloud	X			
GC00001744_2	cloud	X			
GC00001791_1	shell	O			
GC00000143_1	core	C			
GC00000411_1	shell	E			
GC00001722_1	cloud	I			
GC00000735_5	softcore	I			
GC00000735_2	cloud	I			
GC00000735_3	cloud	I			
GC00000735_1	cloud	I			
GC00000398_r1_2	core	E			
GC00000023_5	shell	P			
GC00002253_r1_1	shell	X			
GC00001473_1	cloud	X			
GC00002253_1	cloud	U	W		
GC00000905_r1_r1_r1_1	softcore	L			
GC00000905_r1_r1_1	cloud	L			
GC00001791_4	shell	S			
GC00000398_1	shell	E			
GC00000531_2	softcore	S			
GC00001686_r1_1	cloud	N	T		
GC00000105_5	core	H			
GC00001686_2	cloud	N	T		
GC00000654_r1_r1_r1_1	shell	S			
GC00001686_1	cloud	N	T		
GC00000654_r1_r1_1	cloud	S			
GC00001989_2	shell	E			
GC00001989_1	cloud	E			
GC00003489_1	shell	G			
GC00001613_r1_r1_r1_1	shell	X			
GC00000105_4	shell	C	H		
GC00000078_1	core	P			
GC00000105_1	cloud	C	H		
GC00000510_r1_1	softcore	S			
GC00002744_r1_r1_1	shell	X			
GC00000510_1	cloud	S			
GC00002744_r1_1	cloud	X			
GC00004318_1	cloud	X			
GC00001613_r1_r1_1	shell	M			
GC00001613_r1_1	cloud	X			
GC00004318_3	cloud	X			
GC00003489_2	shell	G			
GC00000654_r1_1	shell	S			
GC00002406_r1_1	shell	K			
GC00004318_2	cloud	X			
GC00000654_1	cloud	S			
GC00001613_1	cloud	X			
GC00001613_2	cloud	X			
GC00001613_3	cloud	X			
GC00002744_1	shell	X			
GC00002406_r1_2	shell	T			
GC00000654_2	shell	S			
GC00000260_r1_1	shell	L			
GC00000260_1	cloud	L			
GC00000350_1	shell	L			
GC00000042_3	core	P			
GC00002381_1	cloud	K			
GC00002406_4	shell	K			
GC00002381_3	cloud	K			
GC00003194_r1_1	shell	X			
GC00002406_1	cloud	T			
GC00003194_1	cloud	X			
GC00002381_2	cloud	X			
GC00002406_3	cloud	K			
GC00000260_3	shell	L			
GC00002406_2	cloud	K			
GC00001473_2	softcore	L			
GC00000034_1	shell	L			
GC00000002_7	shell	I	Q		
GC00000380_4	shell	X			
GC00000380_2	cloud	X			
GC00003499_2	shell	S			
GC00000676_r1_1	shell	H			
GC00000676_4	cloud	H			
GC00000260_2	shell	L			
GC00000676_5	cloud	H			
GC00002116_2	shell	X			
GC00000002_27	shell	S			
GC00002116_1	cloud	X			
GC00000034_3	shell	L			
GC00000676_1	cloud	H			
GC00000905_r1_1	cloud	L			
GC00000380_3	shell	X			
GC00000676_2	cloud	H			
GC00000884_r1_1	softcore	S			
GC00000884_1	cloud	S			
GC00000905_1	cloud	L			
GC00000676_3	cloud	H			
GC00000479_1	cloud	S			
GC00002556_r1_1	shell	V			
GC00000689_9	shell	V			
GC00003499_1	shell	S			
GC00000689_6	cloud	V			
GC00005311_2	cloud	K			
GC00000161_3	core	E			
GC00000689_4	cloud	V			
GC00005311_1	cloud	K			
GC00000034_5	shell	L			
GC00000380_1	shell	X			
GC00003369_1	cloud	X			
GC00000260_4	shell	L			
GC00002711_r1_1	shell	X			
GC00000514_1	shell	X			
GC00003578_r1_1	shell	S			
GC00003578_1	cloud	X			
GC00002556_2	shell	V			
GC00003578_2	cloud	S			
GC00002711_4	shell	X			
GC00003369_2	shell	X			
GC00001284_r1_1	softcore	S			
GC00001284_1	cloud	S			
GC00002711_2	shell	X			
GC00002711_3	shell	X			
GC00002711_1	cloud	X			
GC00002556_1	shell	V			
GC00000399_r1_r1_r1_1	softcore	C			
GC00000399_r1_r1_1	cloud	C			
GC00000399_r1_1	cloud	C			
GC00000034_4	shell	L			
GC00000023_7	shell	P			
GC00000012_10	shell	T			
GC00000064_4	softcore	O			
GC00001818_r1_1	shell	P			
GC00001818_1	cloud	P			
GC00001383_r1_1	softcore	S			
GC00000399_1	shell	C			
GC00000023_1	shell	P			
GC00000023_3	cloud	P			
GC00000012_13	shell	T			
GC00000012_7	cloud	T			
GC00000399_2	shell	C			
GC00000012_9	cloud	T			
GC00000261_1	cloud	F			
GC00000002_34	shell	S			
GC00000012_17	cloud	T			
GC00001818_2	shell	P			
GC00000012_8	cloud	T			
GC00000105_3	core	C	H		
GC00001560_r1_1	shell	L			
GC00000042_2	core	P			
GC00000105_2	cloud	C	H		
GC00001560_1	cloud	L			
GC00002317_r1_1	shell	P			
GC00002127_r1_1	shell	X			
GC00000237_1	shell	S			
GC00001892_3	shell	O			
GC00001892_2	cloud	O			
GC00000161_2	softcore	E			
GC00000161_1	cloud	E			
GC00000002_45	shell	I	Q		
GC00001892_1	cloud	X			
GC00002127_1	shell	X			
GC00000064_5	shell	O			
GC00002317_1	shell	P			
GC00002317_2	cloud	P			
GC00002755_r1_1	cloud	V			
GC00000350_8	shell	L			
GC00000350_3	cloud	L			
GC00003002_r1_1	shell	X			
GC00000350_2	cloud	L			
GC00003002_1	cloud	X			
GC00002974_2	shell	X			
GC00002974_1	cloud	X			
GC00000350_4	cloud	L			
GC00000034_6	shell	L			
GC00002755_r1_2	shell	V			
GC00002755_1	cloud	V			
GC00004433_2	cloud	X			
GC00004433_1	cloud	X			
GC00003781_2	shell	X			
GC00001678_r1_1	cloud	S			
GC00000078_2	core	P			
GC00003781_1	cloud	X			
GC00000350_6	shell	L			
GC00000350_5	cloud	L			
GC00000183_3	softcore	C			
GC00000350_7	cloud	L			
GC00000376_1	cloud	J			
GC00002162_r1_r1_1	shell	X			
GC00000376_3	cloud	J			
GC00001930_2	shell	E			
GC00002162_r1_1	cloud	X			
GC00001930_1	cloud	E			
GC00000376_2	cloud	S			
GC00000479_2	core	S			
GC00003243_1	cloud	X			
GC00000723_r1_1	softcore	F			
GC00000723_1	cloud	F			
GC00000343_1	shell	K			
GC00002162_2	shell	X			
GC00002162_3	cloud	X			
GC00001078_r1_1	shell	M			
GC00001078_4	cloud	M			
GC00000376_4	shell	J			
GC00003243_3	shell	X			
GC00003243_2	cloud	X			
GC00001078_3	cloud	M			
GC00000647_r1_r1_r1_r1_1	shell	X			
GC00001383_1	cloud	S			
GC00000017_1	softcore	E			
GC00000317_2	shell	I			
GC00000647_r1_r1_r1_1	cloud	X			
GC00002162_1	shell	X			
GC00000793_6	cloud	X			
GC00000260_6	shell	L			
GC00000042_1	core	P			
GC00000793_4	cloud	X			
GC00000957_r1_1	softcore	P			
GC00000957_1	cloud	P			
GC00001078_2	shell	M			
GC00001078_1	cloud	X			
GC00001292_r1_1	softcore	P			
GC00000336_4	shell	Q			
GC00001292_1	cloud	P			
GC00001292_3	cloud	P			
GC00000939_r1_1	softcore	S			
GC00000261_2	shell	F			
GC00001678_r1_2	shell	S			
GC00001292_2	cloud	P			
GC00001678_1	cloud	S			
GC00000939_1	cloud	S			
GC00000647_r1_r1_1	shell	X			
GC00000647_r1_1	cloud	X			
GC00000336_1	shell	Q			
GC00004334_2	shell	X			
GC00004334_1	cloud	X			
GC00000535_3	softcore	D			
GC00000002_8	core	S			
GC00000260_5	shell	L			
GC00002864_r1_1	cloud	Q			
GC00001994_r1_1	shell	X			
GC00001994_1	cloud	X			
GC00000237_2	softcore	S			
GC00000336_3	shell	Q			
GC00000647_1	shell	X			
GC00001994_2	cloud	X			
GC00002445_2	shell	X			
GC00000647_2	cloud	X			
GC00001994_3	cloud	X			
GC00000002_60	shell	I			
GC00000002_50	cloud	S			
GC00001428_r1_2	shell	X			
GC00002864_r1_2	shell	Q			
GC00000002_33	cloud	S			
GC00002864_1	cloud	Q			
GC00000562_r1_r1_1	softcore	S			
GC00002445_1	shell	X			
GC00000635_r1_1	softcore	O			
GC00000635_1	cloud	O			
GC00000706_1	cloud	X			
GC00001428_r1_1	shell	X			
GC00000336_2	shell	Q			
GC00001428_1	cloud	X			
GC00002864_3	shell	Q			
GC00000793_7	shell	X			
GC00002864_2	cloud	Q			
GC00001428_2	cloud	X			
GC00000793_5	cloud	X			
GC00001428_3	cloud	X			
GC00003485_4	cloud	X			
GC00003485_1	cloud	S			
GC00000183_2	shell	C			
GC00000793_3	shell	X			
GC00000793_1	cloud	X			
GC00002154_r1_1	shell	T			
GC00002600_r1_r1_1	shell	M			
GC00000793_2	cloud	X			
GC00002154_1	cloud	T			
GC00002600_r1_1	cloud	M			
GC00002600_1	cloud	M			
GC00000183_1	shell	C			
GC00003485_3	shell	T			
GC00002600_3	cloud	M			
GC00003485_2	cloud	S			
GC00002600_2	cloud	M			
GC00000054_r1_1	shell	S			
GC00000017_3	core	E			
GC00000054_3	cloud	S			
GC00000054_1	cloud	S			
GC00000459_2	shell	P			
GC00000002_2	shell	S			
GC00002316_1	shell	F			
GC00000002_24	cloud	S			
GC00002600_4	shell	M			
GC00000706_2	core	J			
GC00000002_49	cloud	S			
GC00002510_r1_1	shell	S			
GC00000261_3	softcore	C			
GC00000012_16	softcore	T			
GC00000303_r1_r1_1	shell	X			
GC00000418_4	softcore	P			
GC00000418_2	cloud	P			
GC00000459_1	shell	P			
GC00000317_3	softcore	I			
GC00002791_r1_1	shell	M			
GC00002791_1	cloud	M			
GC00000303_r1_1	shell	X			
GC00002933_r1_1	shell	S			
GC00002933_1	cloud	S			
GC00002933_2	cloud	X			
GC00000418_3	shell	P			
GC00000418_1	cloud	P			
GC00002933_3	cloud	X			
GC00003106_r1_2	shell	S			
GC00000376_6	softcore	J			
GC00002510_4	shell	S			
GC00000303_5	shell	X			
GC00002510_1	cloud	X			
GC00000317_1	shell	I			
GC00000303_7	cloud	X			
GC00002316_2	shell	F			
GC00000983_r1_1	softcore	S			
GC00002510_3	cloud	X			
GC00000983_1	cloud	S			
GC00002237_r1_2	shell	X			
GC00002510_2	cloud	S			
GC00003854_2	shell	X			
GC00003854_1	cloud	X			
GC00000376_5	shell	S			
GC00002000_r1_r1_1	shell	X			
GC00003106_r1_1	shell	S			
GC00003106_1	cloud	S			
GC00003791_1	cloud	X			
GC00000258_1	shell	S			
GC00000303_10	shell	X			
GC00002237_r1_1	shell	X			
GC00002866_r1_1	shell	X			
GC00000995_2	cloud	S			
GC00003855_2	shell	X			
GC00002799_r1_1	shell	X			
GC00003036_r1_1	shell	X			
GC00000012_18	shell	T			
GC00003791_2	shell	X			
GC00000012_11	cloud	T			
GC00000012_4	cloud	T			
GC00000303_9	shell	X			
GC00003855_1	shell	X			
GC00000303_1	cloud	X			
GC00000012_22	cloud	T			
GC00002866_1	shell	X			
GC00003121_2	shell	S			
GC00002000_r1_1	shell	S			
GC00003121_1	cloud	S			
GC00004011_r1_2	shell	M			
GC00003036_2	cloud	X			
GC00004011_r1_1	cloud	M			
GC00003036_1	cloud	X			
GC00002000_3	cloud	S			
GC00000017_2	softcore	E			
GC00000303_8	shell	X			
GC00002973_r1_1	shell	X			
GC00000355_r1_1	softcore	S			
GC00000355_1	cloud	S			
GC00000054_5	shell	O			
GC00001966_2	shell	S			
GC00002799_1	shell	X			
GC00002000_2	shell	S			
GC00004011_1	cloud	M			
GC00002973_1	shell	X			
GC00002000_1	cloud	X			
GC00002973_2	cloud	X			
GC00000303_3	shell	X			
GC00002000_4	cloud	S			
GC00000177_r1_r1_1	shell	E			
GC00000177_r1_1	cloud	E			
GC00002091_r1_1	shell	X			
GC00000303_2	shell	X			
GC00002091_4	cloud	S			
GC00001695_r1_1	shell	X			
GC00002091_1	cloud	S			
GC00002545_r1_1	shell	S			
GC00002091_3	cloud	S			
GC00002545_1	cloud	S			
GC00001966_1	shell	S			
GC00000023_9	core	P			
GC00003037_2	shell	P			
GC00002091_2	cloud	S			
GC00002353_1	cloud	X			
GC00001897_r1_1	shell	S			
GC00003037_1	cloud	P			
GC00000303_4	shell	X			
GC00000303_11	cloud	X			
GC00000252_6	cloud	S			
GC00001695_1	shell	X			
GC00002653_r1_1	shell	V			
GC00000303_6	cloud	X			
GC00000252_4	cloud	S			
GC00001589_r1_r1_1	shell	X			
GC00001589_r1_1	cloud	X			
GC00003093_1	shell	X			
GC00001589_2	cloud	X			
GC00001897_2	shell	S			
GC00001589_3	cloud	X			
GC00002254_r1_r1_1	shell	V			
GC00001418_r1_r1_1	softcore	J			
GC00001418_r1_1	cloud	J			
GC00002868_r1_1	shell	X			
GC00002653_1	shell	V			
GC00000377_1	shell	P			
GC00000002_19	shell	S			
GC00001418_1	cloud	J			
GC00000377_2	cloud	P			
GC00003093_2	shell	X			
GC00001897_3	shell	S			
GC00001897_1	cloud	X			
GC00001795_r1_1	shell	S			
GC00002868_1	shell	X			
GC00001589_1	shell	X			
GC00000986_r1_1	softcore	H			
GC00003423_1	cloud	X			
GC00000986_1	cloud	H			
GC00000023_2	shell	P			
GC00002353_2	shell	X			
GC00002985_r1_1	shell	X			
GC00002868_2	shell	X			
GC00000785_r1_1	softcore	M			
GC00000785_1	cloud	M			
GC00002159_r1_r1_1	shell	T			
GC00002159_r1_1	cloud	T			
GC00003423_2	shell	X			
GC00002653_2	shell	V			
GC00000562_r1_1	cloud	S			
GC00000023_8	shell	P			
GC00002159_1	cloud	K			
GC00003249_r1_1	shell	M			
GC00002985_2	shell	X			
GC00003616_r1_1	shell	X			
GC00003249_1	cloud	M			
GC00002985_1	cloud	X			
GC00001795_3	cloud	S			
GC00003616_1	cloud	X			
GC00000995_3	shell	S			
GC00004978_1	cloud	L			
GC00001795_2	cloud	S			
GC00004978_2	cloud	L			
GC00001795_1	cloud	S			
GC00004410_2	shell	X			
GC00000258_2	softcore	S			
GC00000562_1	cloud	S			
GC00004410_1	cloud	X			
GC00000298_4	cloud	G			
GC00000177_2	shell	E			
GC00001655_2	shell	V			
GC00000177_3	cloud	C			
GC00000177_1	cloud	E			
GC00000995_1	shell	S			
GC00000377_3	softcore	P			
GC00004188_1	cloud	Q			
GC00000054_6	shell	S			
GC00002695_r1_1	shell	X			
GC00002695_3	cloud	X			
GC00000017_5	core	E			
GC00002695_2	cloud	X			
GC00002695_1	cloud	X			
GC00001655_1	shell	V			
GC00000252_2	shell	S			
GC00002237_2	shell	X			
GC00004188_2	shell	Q			
GC00001705_1	cloud	X			
GC00000779_r1_r1_r1_1	shell	M			
GC00002237_1	shell	X			
GC00002475_r1_r1_1	shell	F			
GC00002606_r1_1	shell	X			
GC00002159_2	shell	S			
GC00002475_r1_1	cloud	F			
GC00002606_2	cloud	X			
GC00000455_2	core	X			
GC00000252_3	shell	S			
GC00002475_1	cloud	F			
GC00002606_1	cloud	X			
GC00000159_2	cloud	F			
GC00002703_r1_1	shell	G			
GC00000455_1	shell	X			
GC00002254_r1_1	cloud	V			
GC00002254_r1_2	cloud	V			
GC00003258_r1_1	shell	X			
