geneCluster	pan_category	COG1	COG2	COG3	COG4
GC00004998	shell	X			
GC00007701	cloud	X			
GC00005342	shell	X			
GC00007706	cloud	X			
GC00007259	cloud	X			
GC00002967	shell	X			
GC00002870	shell	I			
GC00005190	shell	X			
GC00007704	cloud	X			
GC00004999	shell	X			
GC00002144	shell	X			
GC00007324	cloud	X			
GC00005343	shell	X			
GC00002430	shell	L			
GC00002781	shell	S			
GC00005000	shell	X			
GC00005193	shell	X			
GC00007254	cloud	X			
GC00003248	shell	X			
GC00002966	shell	S			
GC00007255	cloud	X			
GC00002903	shell	O			
GC00005344	shell	X			
GC00004198	shell	S			
GC00007708	cloud	X			
GC00007257	cloud	X			
GC00007250	cloud	S			
GC00007251	cloud	E			
GC00001464	softcore	X			
GC00007252	cloud	X			
GC00005192	shell	S			
GC00002780	shell	X			
GC00002961	shell	X			
GC00007253	cloud	X			
GC00005345	shell	X			
GC00006257	cloud	L			
GC00006256	cloud	X			
GC00006255	cloud	X			
GC00006254	cloud	X			
GC00004199	shell	S			
GC00006253	cloud	S			
GC00002057	shell	P			
GC00006252	cloud	B	K		
GC00006251	cloud	X			
GC00005346	shell	X			
GC00002960	shell	X			
GC00006250	cloud	X			
GC00005751	cloud	X			
GC00006259	cloud	X			
GC00002928	shell	X			
GC00004192	shell	L			
GC00006258	cloud	X			
GC00002921	shell	S			
GC00007158	cloud	X			
GC00005347	shell	X			
GC00007296	cloud	X			
GC00005198	shell	X			
GC00002902	shell	L			
GC00002963	shell	X			
GC00003246	shell	L			
GC00004193	shell	X			
GC00004439	shell	X			
GC00007571	cloud	X			
GC00007570	cloud	S			
GC00004190	shell	X			
GC00002962	shell	X			
GC00007573	cloud	X			
GC00007572	cloud	X			
GC00002901	shell	E			
GC00007575	cloud	X			
GC00002439	shell	G			
GC00007574	cloud	X			
GC00003382	shell	X			
GC00007577	cloud	X			
GC00003245	shell	X			
GC00007576	cloud	X			
GC00007579	cloud	X			
GC00004438	shell	L			
GC00007578	cloud	X			
GC00002056	shell	E			
GC00004196	shell	X			
GC00007234	cloud	S			
GC00003383	shell	X			
GC00007235	cloud	S			
GC00007232	cloud	X			
GC00004349	shell	S			
GC00001486	softcore	G			
GC00003244	shell	G			
GC00007721	cloud	X			
GC00002900	shell	S			
GC00002438	shell	S			
GC00004197	shell	X			
GC00003380	shell	X			
GC00002635	shell	S			
GC00004348	shell	X			
GC00004484	shell	X			
GC00004194	shell	X			
GC00007722	cloud	X			
GC00003535	shell	M			
GC00002922	shell	X			
GC00003381	shell	S			
GC00004347	shell	X			
GC00004195	shell	X			
GC00007231	cloud	M			
GC00003534	shell	M			
GC00000249	core	S			
GC00002925	shell	X			
GC00002906	shell	X			
GC00004346	cloud	L			
GC00004486	shell	X			
GC00000919	core	J			
GC00000969	core	L			
GC00003386	shell	V			
GC00002051	shell	S			
GC00003480	shell	X			
GC00004345	shell	O			
GC00002905	shell	X			
GC00001970	shell	C			
GC00003240	shell	K			
GC00005906	cloud	X			
GC00004432	shell	X			
GC00004952	shell	X			
GC00003917	shell	M			
GC00003387	shell	S			
GC00004435	shell	X			
GC00004953	shell	X			
GC00002904	shell	S			
GC00002239	shell	M			
GC00007315	cloud	S			
GC00003916	shell	X			
GC00007314	cloud	X			
GC00000819	core	E			
GC00002634	shell	X			
GC00007317	cloud	X			
GC00007316	cloud	S			
GC00003384	shell	X			
GC00007311	cloud	X			
GC00004342	shell	X			
GC00003368	shell	X			
GC00003915	shell	X			
GC00004341	shell	S			
GC00004950	shell	X			
GC00003385	shell	S			
GC00004437	shell	L			
GC00007313	cloud	X			
